statuses_count,followers_count,friends_count,favourite_count,listed_count,default_profile_binary,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,IS_BOT
2177,208,332,265,1,1,1,1,0.6833019460138104,0.06528562460765851,0.10420590081607031,0.08317639673571876,0.00031387319522912746,0.6265060240963856,1,4,2,0,3,0
2660,330,485,3972,5,1,1,1,0.9333333333333333,0.11578947368421053,0.17017543859649123,1.3936842105263159,0.0017543859649122807,0.6804123711340206,1,4,1,0,3,0
1254,166,177,1185,0,1,1,1,0.3171471927162367,0.041982802225594334,0.044764795144157814,0.29969650986342944,0.0,0.9378531073446328,1,2,1,0,8,0
202968,2248,981,60304,101,1,1,1,48.510516252390055,0.5372848948374761,0.23446462715105162,14.413001912045889,0.0241395793499044,2.291539245667686,1,0,2,0,11,0
82,21,79,5,0,1,1,1,0.0317706315381635,0.008136381247578458,0.03060829135993801,0.0019372336303758234,0.0,0.26582278481012656,1,8,2,0,1,0
12915,641,1066,1568,7,1,1,1,4.238595339678372,0.21037085658024285,0.3498523137512307,0.5146045290449622,0.002297341647522153,0.6013133208255159,1,4,1,0,14,0
13676,1042,2000,19012,7,1,1,1,4.459080534724486,0.33974567981741116,0.6521030322791,6.198891424845126,0.0022823606129768505,0.521,1,1,1,0,6,0
61294,561,118,590,4,1,1,1,15.224540486835568,0.13934426229508196,0.029309488325881768,0.14654744162940883,0.0009935419771485345,4.754237288135593,1,1,1,0,26,0
4854,337,256,1407,4,1,1,1,1.5663117134559534,0.10874475637302355,0.08260729267505647,0.45401742497579867,0.0012907389480477573,1.31640625,1,1,2,0,1,0
2408,421,338,2227,5,1,1,1,0.7409230769230769,0.12953846153846155,0.104,0.6852307692307692,0.0015384615384615385,1.2455621301775148,1,1,2,0,14,0
24581,335,276,10570,4,1,1,1,6.451706036745406,0.08792650918635171,0.07244094488188976,2.774278215223097,0.0010498687664041995,1.213768115942029,1,2,2,0,3,0
2132,232,225,101,56,1,1,1,0.45361702127659576,0.04936170212765958,0.047872340425531915,0.02148936170212766,0.011914893617021277,1.031111111111111,1,1,3,1,22,0
10354,1948,2096,3,88,1,1,1,2.178872053872054,0.4099326599326599,0.44107744107744107,0.0006313131313131314,0.018518518518518517,0.9293893129770993,1,2,2,0,25,0
18484,271,216,8487,0,1,1,1,5.83275481224361,0.08551593562638056,0.06816030293467971,2.678131902808457,0.0,1.2546296296296295,1,1,2,0,4,0
88,16,74,397,0,1,1,1,0.022780222624902924,0.0041418586590732595,0.019156096298213823,0.10276986797825524,0.0,0.21621621621621623,1,3,2,0,17,0
2418,1190,355,1092,11,1,1,1,0.701276102088167,0.3451276102088167,0.10295823665893271,0.3167053364269142,0.0031902552204176333,3.352112676056338,1,2,1,2,6,0
10839,7842,7836,8329,34,1,1,1,2.514849187935035,1.819489559164733,1.8180974477958236,1.9324825986078886,0.00788863109048724,1.0007656967840735,1,0,2,0,25,0
4774,552,787,4029,11,1,1,1,1.6106612685560053,0.1862348178137652,0.2655195681511471,1.3593117408906883,0.003711201079622132,0.7013977128335451,1,1,2,0,3,0
36,223,166,864,2,1,1,1,0.012240734444066644,0.07582454947296838,0.05644338660319619,0.29377762665759943,0.0006800408024481469,1.3433734939759037,1,1,2,1,16,0
9412,303,325,7304,2,1,1,1,2.2961697975115882,0.07392046840692852,0.07928763112954379,1.7818980239082702,0.00048792388387411563,0.9323076923076923,1,3,2,0,17,0
55052,1978,197,7274,7,1,1,1,14.4152919612464,0.5179366326263419,0.051584184341450644,1.9046870908614821,0.001832940560356114,10.040609137055837,1,4,2,2,19,0
69809,1605,969,12583,2,1,1,1,15.090575010808474,0.3469520103761349,0.20946822308690013,2.7200605274535237,0.00043233895373973193,1.6563467492260062,1,3,2,0,9,0
7207,212,150,1877,0,1,1,1,2.3047649504317236,0.06779661016949153,0.04796929964822513,0.6002558362647905,0.0,1.4133333333333333,1,3,2,0,1,0
16677,1206,49,7008,6,1,1,1,4.277250577071044,0.30931007950756606,0.012567324955116697,1.79738394460118,0.001538856116953065,24.612244897959183,1,2,3,0,10,0
24163,435,320,676,1,1,1,1,6.7645576707726764,0.12178051511758119,0.08958566629339305,0.18924972004479285,0.0002799552071668533,1.359375,1,1,1,0,2,0
45750,7644,359,54926,46,1,1,1,15.814033874870377,2.642239889388178,0.1240926374006222,18.985827860352575,0.015900449360525405,21.292479108635096,1,2,1,2,12,0
1203,182,117,136,0,1,1,1,0.40752032520325204,0.061653116531165314,0.039634146341463415,0.04607046070460705,0.0,1.5555555555555556,1,0,1,0,1,0
274989,9815,2190,40114,38,1,1,1,68.54162512462612,2.4464107676969093,0.5458624127617149,9.998504486540378,0.009471585244267198,4.481735159817352,1,0,1,0,3,0
11334,349,348,2465,4,1,1,1,2.76708984375,0.085205078125,0.0849609375,0.601806640625,0.0009765625,1.0028735632183907,1,0,1,0,15,0
72102,726,28,165,23,1,1,1,19.65703380588877,0.19792802617230099,0.007633587786259542,0.04498364231188658,0.0062704471101417665,25.928571428571427,1,0,2,0,13,0
15525,879,667,153,5,1,1,1,3.3647594278283486,0.1905071521456437,0.1445600346770698,0.03315994798439532,0.001083658430862592,1.31784107946027,1,1,1,0,1,0
31248,3205,2377,3650,282,1,1,1,6.92860310421286,0.7106430155210643,0.5270509977827051,0.8093126385809313,0.06252771618625277,1.3483382414808582,1,0,2,0,20,0
105025,543,327,49956,1,1,1,1,24.711764705882352,0.12776470588235295,0.07694117647058824,11.754352941176471,0.00023529411764705883,1.6605504587155964,1,0,0,0,1,0
54,10,91,14,0,1,1,1,0.013148283418553688,0.0024348672997321647,0.0221572924275627,0.0034088142196250304,0.0,0.10989010989010989,1,2,2,0,1,0
371,90,147,363,0,1,1,1,0.13584767484437935,0.032954961552544855,0.05382643720248993,0.13291834492859758,0.0,0.6122448979591837,1,0,1,0,3,0
2582,223,495,1668,3,1,1,1,0.9069195644538111,0.0783280646294345,0.17386722866174922,0.5858798735511064,0.001053740779768177,0.4505050505050505,1,0,2,0,1,0
427,75,77,279,0,1,1,1,0.09349682504926647,0.016422158966498797,0.01686008320560543,0.06109043135537552,0.0,0.974025974025974,1,1,1,0,14,0
416,25,28,2,1,1,1,1,0.10810810810810811,0.006496881496881497,0.007276507276507277,0.0005197505197505198,0.0002598752598752599,0.8928571428571429,1,0,2,0,6,0
34627,661,498,15474,1,1,1,1,9.26350989834136,0.17683253076511504,0.1332263242375602,4.139646869983949,0.00026752273943285177,1.3273092369477912,1,1,1,0,8,0
25098,832,644,6107,1,1,1,1,7.5710407239819,0.25098039215686274,0.1942684766214178,1.842232277526395,0.00030165912518853697,1.2919254658385093,1,0,3,0,6,0
283536,7785,424,1157,217,1,1,1,60.50704225352113,1.6613316261203586,0.09048228766538625,0.24690567648314127,0.046308151941954756,18.360849056603772,1,2,2,0,11,0
13634,697,103,5258,30,1,1,1,3.0951191827468785,0.15822928490351873,0.023382519863791147,1.193643586833144,0.00681044267877412,6.766990291262136,1,2,2,0,12,0
10339,385,200,72,7,1,1,1,2.4949324324324325,0.0929054054054054,0.04826254826254826,0.017374517374517374,0.0016891891891891893,1.925,1,0,2,0,15,0
19390,385,252,11,1,1,1,1,5.019414962464406,0.0996634739839503,0.06523427388040383,0.0028475278281128655,0.0002588661661920787,1.5277777777777777,1,0,2,0,1,0
1960,4910,1675,1043,22,1,1,1,0.5970149253731343,1.4955833079500458,0.5102040816326531,0.31769722814498935,0.006701187937861712,2.9313432835820894,1,0,2,0,18,0
2766,79,196,587,0,1,1,1,0.7105060364757256,0.02029283329052145,0.05034677626509119,0.15078345748779862,0.0,0.4030612244897959,1,0,1,0,11,0
3114,28,32,1,0,1,1,1,0.7166858457997699,0.006444188722669736,0.007364787111622554,0.00023014959723820482,0.0,0.875,1,0,3,0,23,0
4236,249,278,1787,0,1,1,1,0.986722571628232,0.058001397624039136,0.06475658047985092,0.4162590263219194,0.0,0.89568345323741,1,0,1,0,7,0
33298,698,600,4037,5,1,1,1,7.424303232998885,0.1556298773690078,0.13377926421404682,0.9001114827201784,0.0011148272017837235,1.1633333333333333,1,0,2,0,7,0
378,173,312,27,0,1,1,1,0.126,0.057666666666666665,0.104,0.009,0.0,0.5544871794871795,1,2,1,0,2,0
46272,943,750,9355,3,1,1,1,11.959679503747738,0.24373223055052987,0.19384853967433446,2.417937451537865,0.0007753941586973378,1.2573333333333334,1,3,2,0,18,0
1043,81,77,2192,0,1,1,1,0.3563375469764264,0.02767338571916638,0.026306798770071745,0.7488896481038606,0.0,1.051948051948052,1,0,2,0,8,0
5194,247,177,3173,0,1,1,1,1.374074074074074,0.06534391534391534,0.046825396825396826,0.8394179894179894,0.0,1.3954802259887005,1,0,0,0,1,0
3547,1651,1754,1607,4,1,1,1,1.2218394764037204,0.5687220117120221,0.6042025490871512,0.5535652772993455,0.0013778849466069584,0.9412770809578107,1,0,2,0,19,0
6127,1233,1166,97,10,1,1,1,1.3030625265844322,0.2622288387920034,0.24797958315610377,0.02062951935346661,0.002126754572522331,1.0574614065180103,1,0,3,0,20,0
3450,159,124,5059,5,1,1,1,1.1790840738209158,0.054340396445659606,0.04237867395762133,1.7289815447710184,0.0017088174982911825,1.282258064516129,1,0,2,0,28,0
8102,241,273,1067,0,1,1,1,2.217903093347933,0.06597317273473857,0.07473309608540925,0.2920886942239255,0.0,0.8827838827838828,1,0,4,0,22,0
51961,1401,1335,48065,9,1,1,1,11.534073251942287,0.3109877913429523,0.29633740288568255,10.669256381798002,0.001997780244173141,1.049438202247191,1,3,2,0,21,0
23261,589,396,52,0,1,1,1,5.7605250123823675,0.145864289252105,0.09806835066864784,0.012877662209014363,0.0,1.4873737373737375,1,0,2,0,9,0
14187,358,967,280,8,1,1,1,3.4900369003690037,0.08806888068880689,0.23788437884378844,0.06888068880688807,0.0019680196801968018,0.3702171664943123,1,0,2,0,12,0
169053,1193,351,3439,25,1,1,1,45.86353771025502,0.323657080846446,0.09522517634291916,0.9329896907216495,0.006782419967444384,3.398860398860399,1,2,1,0,29,0
3566,136,116,1330,0,1,1,1,0.8514804202483286,0.03247373447946514,0.027698185291308502,0.31757402101241644,0.0,1.1724137931034482,1,0,2,0,6,0
2366,157,388,287,3,1,1,1,0.7316017316017316,0.04854669140383426,0.11997526283240569,0.08874458874458875,0.0009276437847866419,0.40463917525773196,1,0,3,0,21,0
639,120,64,407,1,1,1,1,0.20875530872263967,0.039202874877491016,0.020908199934661875,0.13296308395949036,0.0003266906239790918,1.875,1,4,3,0,9,0
20291,1114,1292,11382,14,1,1,1,5.5004066142586066,0.30197885605855246,0.35023041474654376,3.0853889943074004,0.003795066413662239,0.8622291021671826,1,3,1,0,18,0
57768,348,389,13804,4,1,1,1,17.857187017001547,0.10757341576506955,0.12024729520865533,4.267078825347759,0.0012364760432766616,0.8946015424164524,1,0,1,0,19,0
844,93,385,27,0,1,1,1,0.20004740459824602,0.02204313818440389,0.0912538516236075,0.006399620763214032,0.0,0.24155844155844156,1,0,2,0,6,0
7588,235,112,10979,0,1,1,1,2.531020680453636,0.07838559039359573,0.037358238825883926,3.662108072048032,0.0,2.0982142857142856,1,0,1,0,17,0
20388,399,402,529,3,1,1,1,5.508781410429614,0.10780870035125642,0.10861929208322076,0.1429343420697109,0.0008105917319643339,0.9925373134328358,1,0,1,0,13,0
2287,71,56,295,3,1,1,1,0.5112899619941873,0.015873015873015872,0.012519561815336464,0.06595126313436173,0.0006706908115358819,1.2678571428571428,1,0,3,0,17,0
42077,763,97,922,18,1,1,1,8.862047177759056,0.16069924178601516,0.020429654591406908,0.1941870261162595,0.0037910699241786015,7.865979381443299,1,0,2,0,6,0
